N;Group;Gender;Age;Experience;% of developments completed on time;Number of errors identified by the user;Customer satisfaction (score);Quality of documentation
101;2;1;27;3.8;8;27;24;2
102;2;2;31;4.4;8;28;29;2
103;2;1;30;4.6;8;29;33;1
104;2;1;29;4;7;29;18;1
105;2;2;30;3.5;7;30;21;2
106;2;1;30;5.1;8;27;23;2
107;2;2;26;3.5;7;30;26;3
108;2;2;27;3.6;7;28;30;2
109;2;1;32;4.9;8;25;31;3
110;2;1;29;4.8;6;27;32;1
111;2;1;27;4;6;28;22;3
112;2;2;30;4;7;31;24;2
113;2;1;33;5.1;8;27;28;1
114;2;2;24;3.1;9;30;15;3
115;2;2;31;4.5;9;28;30;2
116;2;1;21;2.4;8;31;19;1
117;2;2;29;3.7;9;30;18;4
118;2;1;27;4.1;8;26;30;3
119;2;2;28;3.8;8;29;17;3
120;2;1;27;3.4;6;28;21;1
121;2;1;31;4.4;10;27;30;3
122;2;2;26;3.9;6;31;17;3
123;2;1;35;4.6;9;26;25;1
124;2;1;30;4;7;29;26;2
125;2;2;33;4.8;10;27;28;2
126;2;1;30;4.3;8;28;26;1
127;2;2;28;4.6;8;27;27;3
128;2;2;28;3.9;7;28;27;1
129;2;1;25;3.2;8;28;22;1
130;2;1;31;4.3;10;27;36;3
131;2;1;36;5.4;7;27;27;2
132;2;2;33;4.6;9;28;30;1
133;2;1;30;4.5;7;26;27;2
134;2;2;31;5.4;10;27;29;4
135;2;2;26;3.1;7;30;17;4
136;2;1;27;3.3;7;32;24;1
137;2;2;32;4.5;9;26;25;4
138;2;1;31;4.1;9;32;23;1
139;2;2;29;4.1;7;29;22;3
140;2;1;25;3.2;5;28;19;3
141;2;1;31;4.4;8;30;16;2
142;2;2;32;4.4;6;30;22;2
143;2;1;29;3.9;7;30;14;1
144;2;1;29;4.2;7;28;27;3
145;2;2;26;3.6;7;31;12;3
146;2;1;30;4.1;9;31;19;1
147;2;2;31;5.6;9;20;40;2
148;2;2;26;3.7;6;33;19;2
149;2;1;31;4.4;7;27;27;3
150;2;1;29;3.9;8;28;22;2
151;2;1;29;4;9;29;23;3
152;2;2;25;2.7;6;34;16;2
153;2;1;24;3.2;9;31;15;1
154;2;2;25;2.9;8;27;18;1
155;2;2;30;4;8;30;15;3
156;2;1;25;3.1;8;27;27;3
157;2;2;24;3.7;9;28;21;4
158;2;1;35;5.6;10;28;30;2
159;2;2;27;3.2;7;26;28;1
160;2;1;22;2.7;8;28;20;3
161;2;1;31;4.7;9;30;27;3
162;2;2;27;3.8;7;24;36;3
163;2;1;27;3.1;7;24;28;2
164;2;1;28;3.4;8;26;20;3
165;2;2;30;3.8;8;27;28;3
166;2;1;28;3.6;9;27;19;1
167;2;2;32;5.1;8;28;21;2
168;2;2;26;3.5;8;31;16;2
169;2;1;28;4;8;29;25;1
170;2;1;27;3;8;32;21;3
171;2;1;28;2.5;6;30;22;3
172;2;2;29;3.5;8;30;22;3
173;2;1;29;3.5;9;28;25;1
174;2;2;32;3.8;7;28;28;3
175;2;2;32;4.2;8;28;30;1
176;2;1;30;4.2;8;26;28;2
177;2;2;30;4.3;8;28;25;2
178;2;1;27;3.4;7;30;23;2
179;2;2;32;4.2;8;26;24;4
180;2;1;27;3.1;8;28;20;1
181;2;1;34;4.9;9;26;31;2
182;2;2;29;3.7;7;28;22;4
183;2;1;28;4.5;10;26;26;1
184;2;1;27;3.6;7;27;29;3
185;2;2;29;4.1;6;25;28;3
186;2;1;31;3.8;9;29;26;3
187;2;2;32;4.4;8;29;24;4
188;2;2;35;5.6;9;27;28;3
189;2;1;24;2.7;8;30;20;3
190;2;1;27;3.6;10;31;14;2
191;2;1;29;3.3;8;31;25;3
192;2;2;30;4.2;9;30;20;2
193;2;1;27;3.8;9;23;31;3
194;2;2;32;4.2;8;32;19;4
195;2;2;29;3.9;9;27;18;3
196;2;1;30;4;9;29;24;3
197;2;2;28;3.3;5;29;24;2
198;2;1;27;4;10;29;24;1
199;2;2;31;4.7;10;27;23;4
200;2;1;28;4.4;8;28;25;3
